t_id_predio;numero_predial;destinacion_economica
769297;470010107000000690118000000000;Lote_Urbanizado_No_Construido
931219;470010106000009990014500000001;Lote_Urbanizable_No_Urbanizado
721215;470010110000000440003000000000;Lote_Urbanizado_No_Construido
791910;470010110000000130008000000000;Lote_Urbanizable_No_Urbanizado
669801;470010110000000630041000000000;Lote_Urbanizable_No_Urbanizado
879699;470010110000000070003000000000;Lote_Urbanizable_No_Urbanizado
878540;470010112000003100014000000000;Lote_Urbanizable_No_Urbanizado
928338;470010002000000051860000000000;Lote_Urbanizable_No_Urbanizado
709236;470010115000004130011000000000;Lote_Urbanizable_No_Urbanizado
861787;470010112000000880001000000000;Lote_No_Urbanizable
883242;470010110000000220005000000000;Lote_Urbanizable_No_Urbanizado
986627;470010111000002030005000000000;Lote_Urbanizable_No_Urbanizado
969762;470010107000001300003000000000;Lote_Urbanizado_No_Construido
841264;470010110000000640007000000000;Lote_Urbanizado_No_Construido
881295;470010107000001430061000000000;Lote_No_Urbanizable
877262;470010109000003690011000000000;Lote_Urbanizable_No_Urbanizado
787272;470010107000001410055000000000;Lote_Urbanizable_No_Urbanizado
891461;470010800000000420031000000000;Lote_Urbanizable_No_Urbanizado
986144;470010001000011650007500000001;Lote_No_Urbanizable
678091;470010002000000021985000000000;Lote_Urbanizable_No_Urbanizado
689402;470010110000000110011000000000;Lote_Urbanizable_No_Urbanizado
709878;470010104000000140011000000000;Lote_Urbanizable_No_Urbanizado
1035060;470010002000000051810000000000;Lote_Urbanizable_No_Urbanizado
856092;470010111000002480003000000000;Lote_Urbanizable_No_Urbanizado
927223;470010002000000051083500000526;Lote_No_Urbanizable
912034;470010110000000310006000000000;Lote_Urbanizable_No_Urbanizado
992712;470010111000002520016000000000;Lote_Urbanizable_No_Urbanizado
685650;470010110000000090002000000000;Lote_Urbanizado_No_Construido
707494;470010002000000071426000000000;Lote_Urbanizable_No_Urbanizado
1007939;470010002000000051923000000000;Lote_Urbanizable_No_Urbanizado
1006807;470010110000001050007000000000;Lote_Urbanizable_No_Urbanizado
903551;470010109000003690003000000000;Lote_Urbanizable_No_Urbanizado
1010671;470010107000000150004000000000;Lote_Urbanizable_No_Urbanizado
667872;470010115000003650028500000001;Lote_Urbanizable_No_Urbanizado
1062110;470010002000000071428000000000;Lote_Urbanizable_No_Urbanizado
791876;470010110000000230003000000000;Lote_Urbanizable_No_Urbanizado
895665;470010107000001430064000000000;Lote_Urbanizable_No_Urbanizado
702412;470010107000000510001000000000;Lote_Urbanizado_No_Construido
963099;470010106000009540019500000001;Lote_Urbanizable_No_Urbanizado
684484;470010110000000620137000000000;Lote_Urbanizado_No_Construido
1021145;470010109000001970011000000000;Lote_No_Urbanizable
922328;470010115000003650027500000001;Lote_Urbanizable_No_Urbanizado
818534;470010110000000610001000000000;Lote_Urbanizado_No_Construido
901581;470010109000002000026000000000;Lote_Urbanizable_No_Urbanizado
1019194;470010115000003850030000000000;Lote_Urbanizable_No_Urbanizado
884822;470010107000000640006000000000;Lote_Urbanizado_No_Construido
793562;470010111000001090001000000000;Lote_Urbanizable_No_Urbanizado
925630;470010104000000740008000000000;Lote_Urbanizado_No_Construido
866971;470010105000000930110000000000;Lote_Urbanizable_No_Urbanizado
799094;470010115000003820038000000000;Lote_Urbanizable_No_Urbanizado
811253;470010111000003370001000000000;Lote_Urbanizable_No_Urbanizado
1033345;470010110000000930005000000000;Lote_Urbanizable_No_Urbanizado
791979;470010002000000071443000000000;Lote_Urbanizable_No_Urbanizado
884985;470010102000001400017000000000;Lote_Urbanizable_No_Urbanizado
748709;470010002000000051915000000000;Lote_Urbanizable_No_Urbanizado
994621;470010110000000640150000000000;Lote_Urbanizado_No_Construido
924178;470010002000000067050500000001;Lote_Urbanizable_No_Urbanizado
775221;470010110000001830002500000001;Lote_Urbanizable_No_Urbanizado
1016346;470010110000001030001000000000;Lote_Urbanizable_No_Urbanizado
784115;470010111000001300003000000000;Lote_Urbanizable_No_Urbanizado
901378;470010107000000370063000000000;Lote_Urbanizado_No_Construido
855823;470010108000000010003000000000;Lote_Urbanizado_No_Construido
874159;470010900000002050007000000000;Lote_Urbanizado_No_Construido
838791;470010110000000160001000000000;Lote_Urbanizable_No_Urbanizado
743866;470010002000000051933000000000;Lote_Urbanizable_No_Urbanizado
853864;470010115000005540002000000000;Lote_Urbanizable_No_Urbanizado
831858;470010110000000180001000000000;Lote_Urbanizado_No_Construido
844034;470010109000003690001000000000;Lote_Urbanizable_No_Urbanizado
880750;470010002000000071427000000000;Lote_Urbanizable_No_Urbanizado
658723;470010110000001830002500000002;Lote_Urbanizable_No_Urbanizado
846426;470010115000003930022000000000;Lote_Urbanizable_No_Urbanizado
1061213;470010002000000051917000000000;Lote_Urbanizable_No_Urbanizado
1014648;470010002000000071441000000000;Lote_Urbanizable_No_Urbanizado
993488;470010109000003060007500000010;Lote_Urbanizable_No_Urbanizado
666818;470010104000000730014000000000;Lote_Urbanizado_No_Construido
667574;470010003000000012674500000001;Lote_Urbanizable_No_Urbanizado
1049948;470010111000003840001000000000;Lote_Urbanizable_No_Urbanizado
848017;470010900000002050005500000001;Lote_Urbanizado_No_Construido
926527;470010111000001760003500000090;Lote_Urbanizado_No_Construido
915009;470010110000000080004000000000;Lote_Urbanizado_No_Construido
741397;470010102000001010020000000000;Lote_Urbanizable_No_Urbanizado
910111;470010002000000051932000000000;Lote_Urbanizable_No_Urbanizado
777951;470010110000002430018000000000;Lote_Urbanizado_No_Construido
988740;470010003000000010901900004028;Lote_Urbanizado_No_Construido
662862;470010110000000310002000000000;Lote_Urbanizable_No_Urbanizado
690433;470010104000000300010000000000;Lote_Urbanizable_No_Urbanizado
882860;470010002000000071440000000000;Lote_Urbanizable_No_Urbanizado
862993;470010002000000051926000000000;Lote_Urbanizable_No_Urbanizado
929162;470010002000000020559500000001;Lote_Urbanizable_No_Urbanizado
684750;470010110000000380556000000000;Lote_Urbanizable_No_Urbanizado
748694;470010115000003950003000000000;Lote_Urbanizable_No_Urbanizado
984228;470010002000000022562000000000;Lote_Urbanizable_No_Urbanizado
882237;470010002000000071442000000000;Lote_Urbanizable_No_Urbanizado
741682;470010110000000910002000000000;Lote_Urbanizado_No_Construido
694270;470010106000011550009500000001;Lote_Urbanizable_No_Urbanizado
658512;470010110000000080019500000001;Lote_Urbanizable_No_Urbanizado
983647;470010002000000060903900001183;Lote_Urbanizado_No_Construido
