t_id_predio;t_id_terreno_1;t_id_terreno_2
981498;1138782;1073559
807896;1141209;1101638
925577;1118599;1144507
879727;1073311;1135195
659337;1073727;1168725
1040899;1085452;1128952
678066;1133083;1127396
855424;1100547;1152573
840941;1128813;1150742
940435;1149138;1097963
1029113;1131945;1173170
1012057;1164742;1073966
1057472;1155124;1120742
818704;1116848;1077597
812180;1141579;1100191
673095;1094671;1100547
661677;1073745;1165334
668169;1073849;1162166
876427;1073689;1158071
695254;1165498;1097963
1025354;1101638;1122059
688353;1082680;1089264
679480;1076738;1073837
661299;1073489;1171280
983625;1175978;1137476
881463;1160774;1090652
660338;1114290;1072992
662340;1178866;1176703
658995;1159436;1073994
1072437;1073878;1110658
662141;1107120;1073867
752282;1174200;1136716
1025354;1128794;1101638
940435;1097963;1111543
661303;1073488;1154304
768638;1158907;1097917
882089;1085875;1173396
981498;1073559;1138782
847843;1109643;1095190
882089;1085875;1080247
787314;1176926;1090034
851970;1111087;1105767
661449;1073626;1137116
896325;1073631;1145416
784776;1073692;1096901
1036608;1136242;1116455
665137;1099710;1150078
680355;1073679;1077113
802200;1155724;1139667
821698;1087169;1124917
673095;1094654;1100547
901407;1168713;1100446
1030035;1077974;1073837
1036608;1116455;1136242
662575;1073753;1143316
914506;1133539;1159020
1038710;1073966;1137403
929308;1103005;1089649
661423;1073603;1102272
1023874;1103665;1073552
1028791;1111412;1073566
871420;1101638;1132440
985532;1072794;1116368
838221;1073533;1089284
742970;1159216;1132642
673095;1100547;1168236
746552;1135748;1139322
881420;1142594;1073496
1025354;1101638;1172904
660931;1123884;1073309
755666;1073626;1155913
828919;1158701;1150078
794965;1123472;1072577
940435;1167007;1097963
1051015;1160755;1085700
3016579;1150427;1073849
770655;1073750;1157548
668956;1138723;1157576
705307;1099778;1121521
731925;1073838;1160577
962707;1073837;1102293
661663;1169791;1073741
924494;1098791;1073739
962462;1096417;1077337
661230;1073912;1150998
817759;1073649;1079272
977037;1105717;1078068
705827;1086042;1100547
869153;1072484;1139312
977106;1073583;1106691
739714;1145824;1167071
658871;1163329;1073636
661457;1129334;1073837
807894;1165117;1101638
890076;1100547;1106450
986646;1072952;1138934
977453;1143922;1124847
940435;1154899;1097963
661637;1073734;1097580
828919;1165122;1150078
658477;1152282;1073917
681936;1098109;1098486
1003957;1148326;1145428
701971;1140773;1097963
708293;1174606;1073574
925577;1170888;1144507
913012;1110557;1073171
710530;1152279;1153582
887696;1123630;1101892
663206;1082711;1156544
895002;1088514;1086104
789351;1175053;1073931
1025354;1101638;1139037
1025179;1072492;1156065
1065065;1094435;1072677
820175;1155139;1073838
789398;1100298;1099495
944849;1072485;1080101
1053362;1141052;1108160
919132;1153855;1100298
940435;1097963;1108939
677907;1106076;1171638
658889;1073661;1072463
940037;1145656;1101638
694916;1111087;1133165
661715;1087810;1073841
673700;1073457;1163210
826297;1164402;1113399
1030913;1149639;1113271
681775;1178181;1073596
721562;1096314;1073194
763212;1082307;1164001
666690;1105688;1096110
660923;1090911;1073303
1058160;1171337;1073966
1009738;1081255;1115005
914183;1141148;1097963
882089;1138218;1085875
758996;1101704;1100298
835143;1100547;1120156
661293;1073844;1104395
731322;1095217;1118250
1036608;1116455;1091824
823356;1161551;1073742
844453;1150078;1078079
894918;1123824;1100298
954700;1126943;1081703
797775;1150190;1100191
1057041;1113686;1112826
881896;1086027;1177728
722872;1175395;1137117
965865;1073643;1153045
758996;1100298;1077532
1050008;1090034;1176926
995674;1176247;1104769
989346;1073837;1124901
1044213;1072464;1088915
956115;1104811;1073818
661399;1106691;1073583
659559;1072510;1078864
1032296;1152482;1114439
878564;1073422;1154191
997935;1105904;1101638
1065531;1167071;1169807
836191;1073966;1164114
711269;1173913;1106460
683735;1100189;1088867
940435;1097963;1123853
674548;1078068;1144716
851968;1118923;1078068
936165;1100547;1167161
895623;1172544;1072941
715969;1081760;1078519
907239;1173904;1083280
799964;1087324;1077852
758996;1174274;1100298
832630;1086722;1111087
845386;1072506;1107497
663217;1073444;1073443
747272;1076736;1139322
668900;1073641;1090657
668746;1150440;1088814
661457;1073837;1097835
794737;1073597;1098878
833011;1101630;1097466
712009;1073317;1100114
870824;1106231;1073278
693804;1111087;1120801
660837;1073260;1130770
