t_id_predio;numero_predial;matricula_inmobiliaria
685678;470010106000007730801800000001;67071
957665;470010115000006520801800000008;132071
666830;470010002000000070801800007066;121910
1011742;470010002000000060801800004610;107190
734721;470010110000000460801800000073;39003
718966;470010107000000810801800000308;1522
1055561;470010001000000020801800002384;130589
804317;470010105000001250801800000064;122923
945720;470010106000007020801800000006;51043
1059058;470010001000000020801800002419;151698
981973;470010111000002880801800000034;60289
1027222;470010110000000540801800000009;41968
950463;470010002000000070801800001957;112771
722727;470010110000000490803800000057;31834
698803;470010001000000020803800001670;62063
676472;470010107000001050801800000103;24222
979597;470010002000000050801800000119;73634
719232;470010106000007080801800000009;51109
1020065;470010002000000050801800000199;73678
1060902;470010102000002490801800000040;63396
837443;470010002000000050801800000315;73834
779721;470010107000000560801800000074;40287
925468;470010002000000070803800007083;133929
878358;470010002000000070801800001999;112813
854694;470010002000000060801800004678;107260
925783;470010104000001040801800000032;23442
802891;470010108000000160801800000036;31805
755413;470010001000000020802800001491;61866
782407;470010111000002880801800000088;60339
1010449;470010002000000070801800007214;138790
791000;470010002000000050801800000100;73615
906666;470010107000000420801800000032;7539
717833;470010108000000160801800000010;31779
817421;470010111000002880801800000026;60281
680856;470010106000007080801800000016;51116
1071641;470010107000001050801800000123;87158
823859;470010110000000460801800000097;39027
789388;470010002000000070803800006981;133912
1055366;470010004000000020801800000309;60509
1018058;470010109000002580801800000260;51477
839254;470010113000000530801800000018;60661
787016;470010103000000590801800000044;57093
982806;470010002000000070803800006980;133911
760896;470010107000001570801800000031;97971
1053686;470010002000000070801800001997;112811
966932;470010103000000570801800000048;60825
1034426;470010106000007020801800000010;51047
862378;470010113000000770801800000029;111161
945183;470010102000003920801800000033;70720
740350;470010002000000070803800006983;133914
709561;470010105000000900801800000005;10437
826147;470010107000000990801800000015;59992
667725;470010112000000940801800000202;51854
985393;470010105000002120801800000030;79444
929515;470010002000000050801800000286;73807
682106;470010002000000060801800004593;107173
667904;470010112000000940801800000027;51678
1003933;470010109000002580801800000008;51203
983830;470010002000000050801800000152;73727
1001554;470010112000000940801800000210;51862
830389;470010002000000070801800002015;112829
1044556;470010004000000020801800000273;60473
746419;470010107000000990801800000064;60041
1010800;470010107000000720801800000059;56059
1054066;470010002000000050801800000191;73683
817496;470010103000000590801800000049;57088
983482;470010109000002580801800000151;64719
1050032;470010107000001050801800000129;24246
940696;470010112000000940801800000161;51812
1055550;470010002000000040801800005004;111257
1010932;470010110000000170801800000030;32058
738363;470010103000000570801800000052;60829
1041038;470010002000000070804800007118;131333
883427;470010110000000730802800000010;59252
1070717;470010004000000020801800000297;60497
883107;470010002000000050802800000391;68556
1061608;470010112000000940801800000058;51709
906054;470010106000007690801800000028;63380
775114;470010110000000590801800000004;7623
709937;470010002000000070801800006993;108020
983056;470010111000000860801800000019;63707
695242;470010112000000940801800000186;51838
1010538;470010108000000070801800000019;8767
784379;470010002000000070803800002181;131427
1069884;470010107000000990801800000100;128922
1020053;470010107000000380801800000010;57460
871435;470010109000002580801800000138;51353
772330;470010002000000070804800007182;131509
849212;470010103000000110801800000049;49694
705082;470010002000000060801800004710;107296
904972;470010112000000940801800000090;51741
788249;470010109000002580801800000078;51288
671763;470010109000002580801800000142;51357
1071608;470010107000001050801800000064;24170
843268;470010002000000040801800003977;101620
715697;470010107000000880801800000048;39680
980721;470010104000001040801800000036;23446
1013550;470010108000000070801800000007;15847
1002079;470010107000000420801800000022;7529
956974;470010900000001090801800000012;65252
742433;470010112000000940801800000301;51953
1036497;470010104000001040801800000018;23433
929256;470010001000000020802800001531;61876
862074;470010002000000070801800002268;112755
817050;470010103000000570801800000018;60794
1004066;470010109000002580801800000282;105736
979165;470010106000000230801800000036;68746
874463;470010111000002880801800000134;60383
955245;470010004000000020801800000295;60495
842856;470010107000000420801800000004;10293
924789;470010107000001600801800000002;89865
876581;470010002000000060801800004670;107252
1007497;470010002000000070801800001964;112778
914602;470010002000000070801800007059;121917
830117;470010106000007660801800000011;63339
791257;470010111000000860801800000015;63691
751294;470010103000000470801800000067;123893
1069573;470010107000000880801800000008;34502
929554;470010002000000050801800000195;73726
819103;470010112000000940801800000208;51860
948483;470010106000007070801800000011;51093
684367;470010107000000990801800000053;60030
883795;470010002000000070803800007087;133925
872493;470010115000006470801800000006;66037
1069049;470010002000000070803800002175;131421
758661;470010110000000490801800000006;38682
1063123;470010109000002580801800000084;51295
1019335;470010103000000110801800000040;49685
918373;470010109000002580801800000136;51351
957097;470010107000000460801800000240;61979
1067338;470010002000000060801800004592;107172
740482;470010002000000040801800003956;123342
750184;470010107000000530801800000011;15823
724175;470010109000002580801800000171;51387
1047963;470010107000001630801800000003;93045
742780;470010002000000050801800000144;73709
1051188;470010002000000060801800004613;107193
1061284;470010103000001960801800000114;64878
786655;470010102000002160801800000036;95755
748194;470010002000000070804800007138;131465
698606;470010002000000070801800007001;108028
778177;470010112000000940801800000099;51750
884738;470010110000000590801800000002;17131
750783;470010103000000570801800000029;60806
700353;470010002000000070804800007135;131462
828865;470010112000000940801800000057;51708
684607;470010109000002580801800000389;105798
905017;470010002000000050801800000127;73642
837531;470010002000000050801800000183;73722
722341;470010103000000450801800000080;38748
1013091;470010001000000020802800001499;61858
923767;470010110000000460801800000040;38970
684642;470010001000000020803800001652;62046
