t_id_predio;t_id_terreno_1;t_id_terreno_2
769605;1136729;1124722
947125;1147632;1112488
1038792;1111380;1149399
694456;1104720;1112309
850598;1092344;1159293
788184;1111953;1100230
997245;1172738;1133916
863249;1133918;1140393
743183;1112088;1103048
730901;1102271;1111446
995781;1150570;1136687
816070;1139304;1106044
955045;1088846;1136685
796913;1124643;1169602
728324;1111307;1111306
747279;1144468;1091379
750840;1112461;1175271
962445;1125791;1128796
788121;1153032;1112443
751302;1112551;1135652
879812;1159027;1165614
1023550;1111331;1097850
713624;1097973;1091379
951875;1096502;1085945
750681;1170532;1112450
899761;1140393;1142819
984469;1083105;1167585
923297;1169727;1103262
849231;1133960;1152893
910078;1077074;1116831
868329;1145194;1131465
987470;1085375;1130622
1070276;1165729;1125943
750681;1112450;1122463
689902;1113345;1111696
808201;1085975;1117120
3018438;1097387;1112309
819823;1177421;1077056
768865;1112252;1153980
1027319;1084847;1153186
885506;1160178;1140393
751258;1129499;1112543
823857;1111310;1101424
1003675;1121592;1111366
852123;1093738;1136729
700913;1093052;1140393
925322;1160738;1112287
746906;1150999;1117598
829011;1083624;1172921
839375;1148226;1111228
908706;1118867;1111303
747002;1111324;1157694
686821;1112293;1150543
770291;1076797;1082429
939646;1133046;1112637
841712;1116831;1105291
700730;1111963;1089148
783799;1177560;1100950
910009;1138360;1116831
814846;1111570;1097500
928913;1112192;1165241
843717;1140393;1080137
1030677;1129702;1111601
1022232;1081537;1140372
841660;1076074;1134807
746906;1117598;1173618
819676;1084584;1074390
734001;1111248;1083045
690445;1149335;1140393
713412;1132937;1112515
769605;1136729;1092963
675143;1076102;1167834
961696;1092401;1075293
769667;1087561;1112565
690445;1175801;1140393
883856;1131789;1139304
779869;1078907;1085945
1037755;1081544;1112332
791270;1124745;1086591
859671;1106909;1124745
961696;1103647;1075293
730977;1080279;1173005
744152;1112167;1077916
773510;1090269;1078107
725565;1112419;1117060
690445;1075979;1140393
1025505;1115783;1081991
690445;1097496;1140393
732127;1171247;1111574
839361;1126241;1095316
993025;1112644;1154580
783223;1128535;1112448
757401;1107338;1162098
750416;1112433;1147213
1007716;1137548;1136729
760330;1133451;1163504
966715;1111331;1100645
713692;1119597;1177208
785771;1105168;1127159
1038874;1073445;1153139
694450;1136511;1106255
786556;1112644;1127795
661856;1112329;1085985
839996;1130594;1116170
734003;1102535;1112578
1072236;1134164;1178093
952698;1093247;1076381
1055528;1088949;1112630
690445;1167566;1140393
735270;1111788;1145755
932168;1140782;1111675
998380;1159801;1092953
770291;1134264;1082429
792052;1112729;1080540
745979;1112252;1150237
923375;1160002;1116986
725227;1112572;1082322
723504;1112429;1176004
962129;1083067;1083568
1016525;1119469;1130325
3012609;1146156;1112309
892752;1082528;1139304
1059064;1112436;1139260
885760;1078652;1118776
751451;1175231;1112576
751451;1139492;1112576
1061127;1128772;1112744
751152;1111254;1140703
1006282;1112043;1138028
799868;1105446;1074944
978670;1077235;1143507
751302;1117533;1112551
749977;1112382;1168924
713272;1137882;1121437
908419;1091090;1139304
984312;1118104;1161564
694456;1100652;1112309
730823;1111444;1099024
789451;1097446;1082429
845601;1151764;1162889
791270;1086591;1124745
1056388;1115216;1162145
750726;1135863;1112644
690445;1140393;1082528
921464;1140393;1156885
769605;1136729;1156294
939532;1085030;1081867
1048780;1073328;1073397
730899;1111447;1102271
870206;1138079;1091497
831586;1127975;1153217
724030;1121990;1112506
747361;1156313;1111955
680033;1142718;1089536
732057;1111554;1112293
1037047;1105482;1112298
748837;1112448;1086216
807354;1111659;1159666
729358;1081015;1112477
960916;1078531;1112492
803293;1162364;1169021
795230;1162080;1152176
964061;1108439;1138944
917526;1089669;1088095
657996;1164062;1075316
1018993;1139824;1164011
870542;1113791;1125326
885869;1120798;1135666
994227;1173520;1134398
719415;1165589;1140393
750786;1112454;1094462
910009;1116831;1099061
710654;1116831;1077141
931358;1131946;1138718
870997;1091379;1105550
690445;1140393;1136414
751084;1112498;1118801
786939;1102349;1129208
733567;1077631;1085350
852580;1129618;1157816
714943;1078593;1162002
1050675;1178093;1134164
1058777;1098453;1112729
677676;1144764;1174754
1047675;1150837;1133989
895404;1115020;1151650
690445;1073910;1140393
857732;1112452;1176716
674585;1169727;1161955
806329;1122532;1140393
816855;1139304;1154756
721804;1112117;1083652
772916;1164862;1117473
1067486;1091761;1112309
980189;1140393;1120102
770291;1082429;1150304
736395;1158452;1111832
917448;1082104;1104500
694456;1112309;1113554
980824;1167209;1146947
974276;1131027;1120872
763847;1123613;1111898
740937;1112520;1089634
864567;1133960;1147181
771280;1128500;1089075
830329;1128482;1152442
735533;1111142;1111516
770291;1082429;1118170
751009;1112482;1166431
751486;1111248;1144032
731347;1111496;1136342
794399;1076063;1169727
690445;1140393;1112657
724026;1112470;1131129
944416;1112491;1169764
1007959;1092165;1157601
690445;1138511;1140393
1063138;1127850;1112004
1045673;1112644;1136598
844023;1145564;1133960
861805;1073397;1148962
823833;1140562;1091507
721491;1112420;1101773
950880;1112450;1157883
751140;1136942;1112502
906256;1124805;1153587
1053721;1139902;1112644
978216;1128006;1125773
745979;1099433;1112252
677956;1159292;1143360
932482;1148866;1079177
