t_id_predio;numero_predial;destinacion_economica;t_id_construccion;t_id_unidadconstruccion
958313;470010110000000630047000000000;Lote_Urbanizable_No_Urbanizado;;1255446
706711;470010106000009540019500000001;Lote_Urbanizable_No_Urbanizado;156664;
1048896;470010110000000380557000000000;Lote_Urbanizable_No_Urbanizado;137155;
892485;470010108000000090006000000000;Lote_Urbanizable_No_Urbanizado;148153;
947486;470010002000000021619000000000;Lote_Urbanizable_No_Urbanizado;;1197415
1057336;470010111000001090005000000000;Lote_Urbanizable_No_Urbanizado;;1196241
811563;470010002000000071430000000000;Lote_Urbanizable_No_Urbanizado;;1208644
692132;470010111000003360014000000000;Lote_Urbanizable_No_Urbanizado;110401;
1036740;470010107000001310007000000000;Lote_Urbanizable_No_Urbanizado;126142;
1009541;470010002000000071444000000000;Lote_Urbanizable_No_Urbanizado;245356;
993555;470010111000003470005000000000;Lote_Urbanizable_No_Urbanizado;;1188062
850858;470010001000000020210500000001;Lote_Urbanizable_No_Urbanizado;110688;
666477;470010110000002560007200000001;Lote_Urbanizable_No_Urbanizado;226840;
764574;470010003000000012537000000000;Lote_Urbanizable_No_Urbanizado;184510;
794391;470010115000003930024000000000;Lote_Urbanizable_No_Urbanizado;;1206333
793413;470010107000001410055000000000;Lote_Urbanizable_No_Urbanizado;99717;
728709;470010104000000300010000000000;Lote_Urbanizable_No_Urbanizado;;1210794
784860;470010002000000071065000000000;Lote_Urbanizable_No_Urbanizado;;1210247
934975;470010115000001490015000000000;Lote_Urbanizable_No_Urbanizado;121221;
1065898;470010111000003360008000000000;Lote_Urbanizable_No_Urbanizado;136234;
893053;470010002000000051930000000000;Lote_Urbanizable_No_Urbanizado;;1208467
976386;470010111000001300003000000000;Lote_Urbanizable_No_Urbanizado;125547;
996546;470010109000003690003000000000;Lote_Urbanizable_No_Urbanizado;;1271851
997899;470010002000000071443000000000;Lote_Urbanizable_No_Urbanizado;246621;
725804;470010113000000780090500000001;Lote_Urbanizable_No_Urbanizado;157610;
1032821;470010107000000930032000000000;Lote_Urbanizable_No_Urbanizado;;1277672
794200;470010112000000190013000000000;Lote_Urbanizable_No_Urbanizado;87181;
1036430;470010112000003090007000000000;Lote_Urbanizable_No_Urbanizado;84994;
817523;470010110000000130011000000000;Lote_Urbanizable_No_Urbanizado;;1269275
1048782;470010107000000150003000000000;Lote_Urbanizable_No_Urbanizado;;1204802
794266;470010112000003100014000000000;Lote_Urbanizable_No_Urbanizado;87904;
748823;470010102000002220002000000000;Lote_Urbanizable_No_Urbanizado;254893;
809341;470010110000001870001000000000;Lote_Urbanizable_No_Urbanizado;122642;
662806;470010110000000380556000000000;Lote_Urbanizable_No_Urbanizado;127805;
809363;470010110000000960012000000000;Lote_Urbanizable_No_Urbanizado;90389;
658032;470010107000000020019000000000;Lote_Urbanizable_No_Urbanizado;138035;
784943;470010002000000071419000000000;Lote_Urbanizable_No_Urbanizado;;1188362
914337;470010104000000580001000000000;Lote_Urbanizable_No_Urbanizado;109038;
826733;470010110000001830002500000003;Lote_Urbanizable_No_Urbanizado;193246;
863095;470010106000010010004500000001;Lote_Urbanizable_No_Urbanizado;139771;
818474;470010110000000130006000000000;Lote_Urbanizable_No_Urbanizado;;1247547
728320;470010110000000320005000000000;Lote_Urbanizable_No_Urbanizado;269407;
1031644;470010002000000051810000000000;Lote_Urbanizable_No_Urbanizado;151512;
922183;470010110000000630048000000000;Lote_Urbanizable_No_Urbanizado;236455;
813630;470010003000000012674500000006;Lote_Urbanizable_No_Urbanizado;92436;
658133;470010110000000160001000000000;Lote_Urbanizable_No_Urbanizado;223454;
788339;470010002000000071433000000000;Lote_Urbanizable_No_Urbanizado;;1254170
903780;470010107000001430064000000000;Lote_Urbanizable_No_Urbanizado;272486;
1061944;470010109000003690009000000000;Lote_Urbanizable_No_Urbanizado;184165;
765319;470010900000000510020000000000;Lote_Urbanizable_No_Urbanizado;172808;
793451;470010110000000310005000000000;Lote_Urbanizable_No_Urbanizado;;1199670
782678;470010109000003690010000000000;Lote_Urbanizable_No_Urbanizado;;1264360
1026099;470010002000000066222000000000;Lote_Urbanizable_No_Urbanizado;166666;
923413;470010106000008240005000000000;Lote_Urbanizable_No_Urbanizado;205398;
794383;470010115000004130030000000000;Lote_Urbanizable_No_Urbanizado;268751;
809273;470010110000001020001000000000;Lote_Urbanizable_No_Urbanizado;223235;
1019706;470010002000000071423000000000;Lote_Urbanizable_No_Urbanizado;250636;
993723;470010002000000071431000000000;Lote_Urbanizable_No_Urbanizado;;1266718
