t_id_predio;numero_predial;condicion_predio;destinacion_economica;tipo_predio
958396;470010104000000800005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
713134;470010102000000200086000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
960516;470010116000002130012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
839824;470010110000000900001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
959795;470010110000000830013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1039245;470010116000002120007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
799096;470010116000002090011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
962474;470010110000000010005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
707011;470010110000001820050000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1029495;470010110000000640003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
960466;470010116000002110024000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
790156;470010116000002180006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
833587;470010900000002050005500000001;Parque_Cementerio.Unidad_Predial;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
667667;470010110000002280007000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
799066;470010116000002080006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
666720;470010002000000070122000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
910027;470010800000000670251000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
807093;470010110000000670010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
801891;470010104000000730024000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
829767;470010002000000020892000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
991408;470010110000001760001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
935135;470010116000002120002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794872;470010800000000550022000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
984477;470010002000000021366000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
813448;470010110000000950011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1009993;470010110000001260017000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
934933;470010116000002180004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1056358;470010104000000300026000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1016744;470010108000000140015000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
917251;470010107000000470001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794744;470010110000002310003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794700;470010110000002290002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938966;470010116000002140014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794772;470010110000002350002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
754907;470010102000000020038000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794775;470010110000002360001000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
965295;470010002000000066061000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
718699;470010110000000080005000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
826448;470010108000000110002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
765323;470010116000002110013000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
663060;470010110000000020016000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
673166;470010110000000630045000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
794858;470010116000002180027000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1023107;470010116000002110014000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
938666;470010116000002100015000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
765639;470010105000002140011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
992806;470010002000000021302000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
813058;470010110000001730011000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
812066;470010110000000830002000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
997527;470010104000000610006000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1068495;470010002000000020741000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
666450;470010110000000790003000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
957905;470010104000000280012000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
961522;470010002000000070121000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
748770;470010110000000390010000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
791590;470010116000002100024000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
797374;470010116000002140004000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
1049878;470010116000002110019000000000;NPH;Lote_Urbanizado_No_Construido;Predio.Publico.Ejido
