t_id_caracterististica_unidadconstruccion;identificador;area_construida;anio_construccion
28474;A;0.0;
60887;A;72.1;
60977;A;60.3;
60991;A;60.3;
67308;A;0.0;
61006;A;60.3;
55334;A;67.7;
8677;A;73.8;
60843;A;60.3;
78465;A;67.7;
60844;A;60.3;
59064;A;67.7;
84166;A;55.9;
84161;A;55.9;
84058;A;67.7;
53197;A;0.0;
29770;A;0.0;
73915;A;0.0;
84033;A;0.0;
60969;A;41.8;
82763;A;78.5;
60943;A;72.1;
84027;A;53.7;
60982;A;60.3;
60823;A;60.3;
17365;A;78.5;
74204;A;67.7;
60949;A;72.1;
15825;A;78.5;
84181;A;47.6;
84177;A;55.9;
84164;A;47.6;
61003;A;60.3;
84170;A;47.6;
78278;A;53.7;
8016;A;53.7;
60259;A;67.7;
84047;A;67.7;
77629;A;67.7;
60931;A;72.1;
78102;A;61.5;
84034;A;0.0;
60893;A;41.8;
58104;A;67.7;
53370;A;55.9;
43674;A;0.0;
82455;A;73.8;
77130;A;53.7;
71489;A;0.0;
53650;A;47.6;
84029;A;0.0;
53488;A;67.7;
7531;A;53.7;
53408;A;47.6;
31062;A;0.0;
84056;A;67.7;
62197;A;67.7;
60866;A;72.1;
60930;A;72.1;
30127;A;0.0;
84195;A;47.6;
78322;A;53.7;
84070;A;67.7;
84043;A;67.7;
61012;A;60.3;
53430;A;47.6;
53382;A;47.6;
68662;A;67.7;
60858;A;41.8;
84037;A;0.0;
73693;A;0.0;
16486;A;73.8;
60936;A;72.1;
60892;A;41.8;
53338;A;47.6;
73062;A;67.7;
22585;A;31.4;
84069;A;67.7;
15028;A;78.5;
45217;A;0.0;
32931;A;0.0;
55811;A;55.9;
32043;A;0.0;
17584;A;31.4;
42434;A;0.0;
60834;A;60.3;
60962;A;41.8;
