t_id_terreno;t_id_construccion;construccion_nocontenida_en_terreno;t_id_terreno_asociado_a_construccion;t_id_predio
1107498;241101;false;1107498;1028036
1123848;249305;false;1123848;1052609
1168238;241271;false;1168238;912108
1094476;183543;false;1094476;816231
1083630;239388;false;1083630;1048820
1157585;227596;false;1157585;660674
1078920;238127;false;1078920;3018558
1094568;246954;false;1094568;896625
1089198;259125;false;1089198;956619
1137112;233874;false;1137112;735113
1162147;257889;false;1162147;826836
1128772;179331;false;1128772;856699
1143654;232113;false;1143654;693621
1151823;252005;false;1151823;992365
1097010;250703;false;1097010;683635
1135985;258273;false;1135985;984308
1081981;226371;false;1081981;675482
1122571;211634;false;1122571;965156
1157149;250053;false;1157149;797573
1117598;239160;false;1117598;746906
1129069;276741;false;1129069;781565
1175681;253264;false;1175681;788993
1166456;243808;false;1166456;933378
1133773;270021;false;1133773;981414
1104687;257768;false;1104687;1061103
1095493;253630;false;1095493;690137
1172771;254179;false;1172771;970548
1091343;262725;false;1091343;670717
1128292;240543;false;1128292;987942
1177810;160832;false;1177810;1032933
1173567;239285;false;1173567;1001920
1087290;240196;false;1087290;807320
1113104;242486;false;1113104;1005380
1130844;234075;false;1130844;693608
1103041;274674;false;1103041;1057827
1103877;133559;false;1103877;746127
1157559;261543;false;1157559;986251
1128253;86460;false;1128253;661299
1077559;187155;false;1077559;1072887
1123869;145979;false;1123869;3023691
1080132;249722;false;1080132;738543
1091691;257720;false;1091691;914775
1162973;254025;false;1162973;974554
1113195;135146;false;1113195;985025
1142883;248385;false;1142883;919035
1095340;253341;false;1095340;887544
1166364;243664;false;1166364;760843
1074302;245806;false;1074302;891115
1144088;239176;false;1144088;1033637
1104439;138800;false;1104439;785860
1169462;243285;false;1169462;959040
1155051;111266;false;1155051;3012279
1164606;246022;false;1164606;840950
1146145;216783;false;1146145;932306
1133690;238543;false;1133690;937842
1085157;236697;false;1085157;803481
1163837;244972;false;1163837;672526
1079761;127257;false;1079761;3013965
1153116;243627;false;1153116;1033057
1143678;274141;false;1143678;921220
1085618;258856;false;1085618;770129
1133017;253712;false;1133017;1036117
1086104;254255;false;1086104;770015
1127105;225288;false;1127105;1007417
1171098;156073;false;1171098;902790
1173572;204712;false;1173572;770049
1088605;247775;false;1088605;1064403
1124685;239982;false;1124685;963466
1111228;269631;false;1111228;839375
1172297;242531;false;1172297;955141
1111263;151601;false;1111263;865417
1084280;240408;false;1084280;785351
1084772;257153;false;1084772;1056328
1080414;235843;false;1080414;1003940
1098322;125710;false;1098322;790343
1141996;134196;false;1141996;704810
1079120;228442;false;1079120;746964
1156306;259296;false;1156306;748880
1141146;250603;false;1141146;785632
1096233;244304;false;1096233;759877
1114770;255933;false;1114770;962808
1091348;222771;false;1091348;675552
1079895;136525;false;1079895;1070260
1097835;262842;false;1097835;947927
1108405;233437;false;1108405;957988
1109971;137349;false;1109971;954279
1126292;231721;false;1126292;827843
1113585;90398;false;1113585;678373
1178968;202555;false;1178968;926351
1112479;176933;false;1112479;717999
1151406;224118;false;1151406;686105
1140905;239605;false;1140905;1033191
1132475;273621;false;1132475;970705
1171543;257175;false;1171543;854383
1099361;235573;false;1099361;795893
1143676;254660;false;1143676;840495
1160501;214087;false;1160501;922407
1105143;153334;false;1105143;1028881
1124276;260724;false;1124276;827398
1179014;266811;false;1179014;662855
1111241;162916;false;1111241;1000678
1081890;257683;false;1081890;1061141
1073753;239180;false;1073753;762484
1167605;240314;false;1167605;681556
1150182;238748;false;1150182;1007658
1117218;254665;false;1117218;691805
1101113;165756;false;1101113;1021624
1090933;256472;false;1090933;835891
1115988;252648;false;1115988;675989
1136660;203502;false;1136660;1000033
1166246;122090;false;1166246;661321
1101402;257954;false;1101402;659818
1125176;174227;false;1125176;821039
1089284;253951;false;1089284;746913
1171547;234737;false;1171547;829019
1105167;226688;false;1105167;744489
1098231;242150;false;1098231;3024699
1170989;251156;false;1170989;939763
1119669;222883;false;1119669;817509
1167809;240661;false;1167809;861729
1089876;249745;false;1089876;790359
1150563;255281;false;1150563;668221
1159178;157877;false;1159178;940188
1075828;248112;false;1075828;959007
1103090;239525;false;1103090;1036488
1141557;236223;false;1141557;827008
1125216;251637;false;1125216;914191
1170635;214391;false;1170635;1046904
1114753;230911;false;1114753;690491
1139147;224584;false;1139147;693234
1127101;267169;false;1127101;1041741
1165972;237602;false;1165972;813642
1097827;152156;false;1097827;1046718
1101877;253506;false;1101877;978963
1164999;236462;false;1164999;863045
1144493;255879;false;1144493;1058528
1093328;223666;false;1093328;719142
1081490;97695;false;1081490;848308
1169895;249340;false;1169895;670215
1155140;257434;false;1155140;1048310
1102261;253950;false;1102261;791100
1137981;275351;false;1137981;787447
1166148;259146;false;1166148;841372
1092567;254174;false;1092567;1070758
1105944;244201;false;1105944;661343
1086408;254719;false;1086408;967416
1151386;256484;false;1151386;824662
1098586;237159;false;1098586;929529
1097814;174617;false;1097814;691509
1125353;224291;false;1125353;795663
1151400;246006;false;1151400;817662
1176455;223442;false;1176455;955743
1132009;251879;false;1132009;927541
