t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
813978;470010003000000010141500000001;Parque_Cementerio.Unidad_Predial;Recreacional;
794971;470010002000000050801800000117;Condominio.Unidad_Predial;Recreacional;
800372;470010107000001320028000000000;NPH;Recreacional;
829917;470010003000000014049000000000;NPH;Recreacional;
893069;470010102000004270001000000000;NPH;Recreacional;
767078;470010106000005830001000000000;NPH;Recreacional;
765807;470010003000000030119500000007;Parque_Cementerio.Unidad_Predial;Recreacional;
1048275;470010106000000170004000000000;NPH;Recreacional;
736747;470010002000000050801800000182;Condominio.Unidad_Predial;Recreacional;
862607;470010109000002360001000000000;NPH;Recreacional;
799653;470010002000000050801800000220;Condominio.Unidad_Predial;Recreacional;
814014;470010003000000010141500000010;Parque_Cementerio.Unidad_Predial;Recreacional;
799639;470010002000000050801800000188;Condominio.Unidad_Predial;Recreacional;
799084;470010002000000050801800000176;Condominio.Unidad_Predial;Recreacional;
806057;470010106000012150001000000000;NPH;Recreacional;
1034038;470010112000000650014000000000;NPH;Recreacional;
1019087;470010106000006210001000000000;NPH;Recreacional;
687462;470010002000000050801800000266;Condominio.Unidad_Predial;Recreacional;
723041;470010102000004320001000000000;NPH;Recreacional;
961169;470010002000000050802800000358;Condominio.Unidad_Predial;Recreacional;
763602;470010106000009150001000000000;NPH;Recreacional;
662646;470010004000000020801800000362;Condominio.Unidad_Predial;Recreacional;
701588;470010106000009000001000000000;NPH;Recreacional;
834237;470010004000000090001500000008;Parque_Cementerio.Unidad_Predial;Recreacional;
1012659;470010002000000050802800000331;Condominio.Unidad_Predial;Recreacional;
1031846;470010002000000050801800000310;Condominio.Unidad_Predial;Recreacional;
961181;470010002000000050802800000332;Condominio.Unidad_Predial;Recreacional;
934451;470010004000000020801800000290;Condominio.Unidad_Predial;Recreacional;
1004780;470010002000000050801800000313;Condominio.Unidad_Predial;Recreacional;
937587;470010004000000020124000000000;NPH;Recreacional;
841496;470010102000002470012000000000;NPH;Recreacional;
1062627;470010002000000050802800000334;Condominio.Unidad_Predial;Recreacional;
776086;470010003000000030162500000006;Parque_Cementerio.Unidad_Predial;Recreacional;
713654;470010106000011680001000000000;NPH;Recreacional;
764024;470010103000006230002000000000;NPH;Recreacional;
1032895;470010002000000020216000000000;NPH;Recreacional;
667369;470010002000000050802800000345;Condominio.Unidad_Predial;Recreacional;
1039647;470010002000000050801800000214;Condominio.Unidad_Predial;Recreacional;
795396;470010004000000020801800000304;Condominio.Unidad_Predial;Recreacional;
961604;470010116000002010001000000000;NPH;Recreacional;
967478;470010002000000050802800000350;Condominio.Unidad_Predial;Recreacional;
813232;470010003000000040064500000001;Parque_Cementerio.Unidad_Predial;Recreacional;
813936;470010003000000030119500000064;Parque_Cementerio.Unidad_Predial;Recreacional;
962291;470010004000000020801800000312;Condominio.Unidad_Predial;Recreacional;
794878;470010001000000020803800001656;Condominio.Unidad_Predial;Recreacional;
965259;470010002000000050802800000384;Condominio.Unidad_Predial;Recreacional;
813246;470010003000000040038500000007;Parque_Cementerio.Unidad_Predial;Recreacional;
1073050;470010110000001590901900000059;NPH;Recreacional;
795097;470010002000000050802800000356;Condominio.Unidad_Predial;Recreacional;
762675;470010106000001690001500000064;Parque_Cementerio.Unidad_Predial;Recreacional;
795191;470010004000000020801800000246;Condominio.Unidad_Predial;Recreacional;
795573;470010004000000020801800000320;Condominio.Unidad_Predial;Recreacional;
1023698;470010110000001090001000000000;NPH;Recreacional;
993338;470010002000000050801800000294;Condominio.Unidad_Predial;Recreacional;
935630;470010001000000021395000000000;NPH;Recreacional;
814645;470010002000000050801800000166;Condominio.Unidad_Predial;Recreacional;
999516;470010002000000050801800000118;Condominio.Unidad_Predial;Recreacional;
1047574;470010002000000050802800000338;Condominio.Unidad_Predial;Recreacional;
962234;470010004000000020195000000000;NPH;Recreacional;
961139;470010002000000050801800000258;Condominio.Unidad_Predial;Recreacional;
762836;470010109000001480001000000000;NPH;Recreacional;
960814;470010002000000050801800000148;Condominio.Unidad_Predial;Recreacional;
962220;470010004000000020206000000000;NPH;Recreacional;
763482;470010106000008700001000000000;NPH;Recreacional;
1039413;470010002000000050801800000295;Condominio.Unidad_Predial;Recreacional;
1032733;470010002000000050801800000206;Condominio.Unidad_Predial;Recreacional;
800054;470010002000000050802800000381;Condominio.Unidad_Predial;Recreacional;
975990;470010001000000020801800001384;Condominio.Unidad_Predial;Recreacional;
795145;470010002000000050802800000371;Condominio.Unidad_Predial;Recreacional;
847405;470010102000000020034000000000;NPH;Recreacional;
795139;470010003000000030119500000053;Parque_Cementerio.Unidad_Predial;Recreacional;
814032;470010003000000010141500000017;Parque_Cementerio.Unidad_Predial;Recreacional;
763257;470010102000004280001000000000;NPH;Recreacional;
764618;470010111000003200001000000000;NPH;Recreacional;
798675;470010001000000020803800001683;Condominio.Unidad_Predial;Recreacional;
800144;470010002000000050802800000401;Condominio.Unidad_Predial;Recreacional;
795326;470010004000000020801800000284;Condominio.Unidad_Predial;Recreacional;
971599;470010004000000020193000000000;NPH;Recreacional;
851485;470010003000000030119500000037;Parque_Cementerio.Unidad_Predial;Recreacional;
799078;470010002000000050801800000174;Condominio.Unidad_Predial;Recreacional;
829406;470010106000008830001000000000;NPH;Recreacional;
707599;470010001000000020803800001651;Condominio.Unidad_Predial;Recreacional;
995556;470010002000000050802800000394;Condominio.Unidad_Predial;Recreacional;
835252;470010102000004180001000000000;NPH;Recreacional;
970724;470010107000001370089000000000;NPH;Recreacional;
784645;470010002000000021939000000000;NPH;Recreacional;
961233;470010002000000050801800000241;Condominio.Unidad_Predial;Recreacional;
661654;470010006000000020415000000000;NPH;Recreacional;
1030681;470010002000000050801800000303;Condominio.Unidad_Predial;Recreacional;
670820;470010001000000020801800001385;Condominio.Unidad_Predial;Recreacional;
937529;470010002000000050801800000314;Condominio.Unidad_Predial;Recreacional;
690332;470010001000000020803800001684;Condominio.Unidad_Predial;Recreacional;
664073;470010002000000050801800000158;Condominio.Unidad_Predial;Recreacional;
763987;470010114000000610006000000000;NPH;Recreacional;
684432;470010002000000050801800000268;Condominio.Unidad_Predial;Recreacional;
801435;470010003000000030119500000038;Parque_Cementerio.Unidad_Predial;Recreacional;
852235;470010002000000050801800000292;Condominio.Unidad_Predial;Recreacional;
765751;470010003000000030119500000002;Parque_Cementerio.Unidad_Predial;Recreacional;
801655;470010003000000030119500000042;Parque_Cementerio.Unidad_Predial;Recreacional;
910368;470010106000006480024000000000;NPH;Recreacional;
932094;470010111000000860801800000016;Condominio.Unidad_Predial;Recreacional;
795065;470010002000000050802800000341;Condominio.Unidad_Predial;Recreacional;
811970;470010107000001320025000000000;NPH;Recreacional;
672726;470010006000000010642000000000;NPH;Recreacional;
963813;470010004000000020138000000000;NPH;Recreacional;
1003426;470010002000000050802800000367;Condominio.Unidad_Predial;Recreacional;
813098;470010107000001370080000000000;NPH;Recreacional;
765874;470010003000000030162500000004;Parque_Cementerio.Unidad_Predial;Recreacional;
993739;470010003000000010134000000000;NPH;Recreacional;
763023;470010106000006380008000000000;NPH;Recreacional;
1051730;470010001000000020803800001646;Condominio.Unidad_Predial;Recreacional;
992115;470010002000000050801800000264;Condominio.Unidad_Predial;Recreacional;
800802;470010004000000020801800000281;Condominio.Unidad_Predial;Recreacional;
962335;470010002000000050801800000163;Condominio.Unidad_Predial;Recreacional;
801970;470010006000000020015500000156;Parque_Cementerio.Unidad_Predial;Recreacional;
1002848;470010106000006210009000000000;NPH;Recreacional;
795322;470010004000000020801800000280;Condominio.Unidad_Predial;Recreacional;
814829;470010002000000050801800000324;Condominio.Unidad_Predial;Recreacional;
1000690;470010002000000050801800000128;Condominio.Unidad_Predial;Recreacional;
795091;470010002000000050802800000352;Condominio.Unidad_Predial;Recreacional;
993213;470010004000000020801800000264;Condominio.Unidad_Predial;Recreacional;
722846;470010003000000030119500000025;Parque_Cementerio.Unidad_Predial;Recreacional;
1011463;470010002000000050802800000357;Condominio.Unidad_Predial;Recreacional;
847407;470010102000001290003000000000;NPH;Recreacional;
795027;470010002000000050801800000254;Condominio.Unidad_Predial;Recreacional;
937531;470010001000000020803800001647;Condominio.Unidad_Predial;Recreacional;
659809;470010107000001320013000000000;NPH;Recreacional;
