t_id_predio;numero_predial;condicion_predio;destinacion_economica
824032;470010106000001420049000000000;NPH;Forestal
1064437;470010110000000380903901000796;PH.Unidad_Predial;Forestal
801691;470010104000000670901900000000;PH.Matriz;Forestal
990605;470010110000000620903901100682;PH.Unidad_Predial;Forestal
3024270;470010104000000030902901030031;PH.Unidad_Predial;Agropecuario
990150;470010106000007680801800000014;Condominio.Unidad_Predial;Forestal
3015684;470010104000000610903901010111;PH.Unidad_Predial;Forestal
709890;470010106000011620018500000001;Parque_Cementerio.Unidad_Predial;Forestal
975259;470010110000000400903901050460;PH.Unidad_Predial;Forestal
1050196;470010106000008080010000000000;NPH;Forestal
1035042;470010109000003060030000000000;NPH;Forestal
977345;470010110000000610901901990025;PH.Unidad_Predial;Forestal
663373;470010115000006830006000000000;NPH;Forestal
960300;470010115000006650901900000628;PH.Unidad_Predial;Forestal
3018861;470010107000000370901901130041;PH.Unidad_Predial;Forestal
765307;470010111000003930001500000017;Parque_Cementerio.Unidad_Predial;Forestal
801537;470010107000000060132000000000;NPH;Forestal
3021669;470010107000000630903901060130;PH.Unidad_Predial;Forestal
1046389;470010110000000190904901040370;PH.Unidad_Predial;Forestal
1017656;470010107000000200901901010005;PH.Unidad_Predial;Forestal
982867;470010106000001420032000000000;NPH;Forestal
967423;470010107000000080909901010354;PH.Unidad_Predial;Forestal
1049051;470010110000000380901902020309;PH.Unidad_Predial;Forestal
942567;470010104000000280902902020134;PH.Unidad_Predial;Forestal
685991;470010107000000130905901010161;PH.Unidad_Predial;Forestal
1050938;470010106000007020801800000020;Condominio.Unidad_Predial;Forestal
959957;470010115000006650902900001500;PH.Unidad_Predial;Forestal
1052892;470010110000000870902901000051;PH.Unidad_Predial;Forestal
963091;470010103000000590801800000067;Condominio.Unidad_Predial;Forestal
970429;470010107000000120902901000193;PH.Unidad_Predial;Forestal
989274;470010107000000570903901010100;PH.Unidad_Predial;Forestal
985110;470010108000000020903901100209;PH.Unidad_Predial;Forestal
979990;470010107000000320904901060197;PH.Unidad_Predial;Agropecuario
3007074;470010107000000320902901090098;PH.Unidad_Predial;Forestal
1057247;470010107000000740901902040176;PH.Unidad_Predial;Forestal
967615;470010110000000620901901000042;PH.Unidad_Predial;Forestal
983406;470010110000000380901901060378;PH.Unidad_Predial;Forestal
847849;470010106000009230029500000001;Parque_Cementerio.Unidad_Predial;Forestal
1064521;470010110000000620903901990568;PH.Unidad_Predial;Forestal
3015393;470010107000000020901901010039;PH.Unidad_Predial;Forestal
1060556;470010110000000870901900000033;PH.Unidad_Predial;Forestal
3015492;470010104000000650901901010395;PH.Unidad_Predial;Forestal
1008556;470010107000000230901901020019;PH.Unidad_Predial;Forestal
1041780;470010110000000460801800000035;Condominio.Unidad_Predial;Forestal
982278;470010107000000690907901120303;PH.Unidad_Predial;Forestal
1065145;470010107000000600902901110139;PH.Unidad_Predial;Forestal
3023004;470010107000000770902901010045;PH.Unidad_Predial;Forestal
958268;470010110000000400903901000176;PH.Unidad_Predial;Forestal
791043;470010106000010130003000000000;NPH;Agropecuario
1000499;470010107000000160901901010021;PH.Unidad_Predial;Forestal
967697;470010104000000310901901010062;PH.Unidad_Predial;Forestal
758237;470010106000009040084500000001;Parque_Cementerio.Unidad_Predial;Forestal
975593;470010110000000380901902010089;PH.Unidad_Predial;Forestal
668698;470010115000006650901900000402;PH.Unidad_Predial;Forestal
983360;470010110000000480904901090164;PH.Unidad_Predial;Forestal
788449;470010106000009030019000000000;NPH;Forestal
981358;470010110000000190901900010026;PH.Unidad_Predial;Forestal
796177;470010106000005530024000000000;NPH;Forestal
1042343;470010107000000130903901020113;PH.Unidad_Predial;Forestal
981942;470010110000000380901902020297;PH.Unidad_Predial;Forestal
973608;470010107000000310905901070151;PH.Unidad_Predial;Forestal
1020715;470010110000000710901901030143;PH.Unidad_Predial;Forestal
3009633;470010107000000070902901050043;PH.Unidad_Predial;Forestal
1044274;470010107000000410901901040027;PH.Unidad_Predial;Forestal
659373;470010106000001430012000000000;NPH;Forestal
1061038;470010104000000540901901010015;PH.Unidad_Predial;Agropecuario
942895;470010101000001940901900000046;PH.Unidad_Predial;Agropecuario
922297;470010106000011550013500000001;Parque_Cementerio.Unidad_Predial;Forestal
991453;470010110000000620901901050101;PH.Unidad_Predial;Forestal
784777;470010106000011540027000000000;NPH;Forestal
1056799;470010107000000080911900000451;PH.Unidad_Predial;Forestal
3025002;470010104000000290901901020016;PH.Unidad_Predial;Agropecuario
796950;470010106000004050018000000000;NPH;Forestal
1071147;470010103000000590801800000063;Condominio.Unidad_Predial;Forestal
981875;470010107000000930901901010059;PH.Unidad_Predial;Forestal
969447;470010103000008120040500000001;Parque_Cementerio.Unidad_Predial;Forestal
954597;470010108000000180902901140104;PH.Unidad_Predial;Forestal
972115;470010104000000010901901120178;PH.Unidad_Predial;Agropecuario
985963;470010110000000570902900000199;PH.Unidad_Predial;Forestal
1060978;470010104000000290901901020247;PH.Unidad_Predial;Agropecuario
981909;470010110000000570902900000098;PH.Unidad_Predial;Forestal
975096;470010108000000010901903010731;PH.Unidad_Predial;Forestal
3010140;470010110000000710901901010051;PH.Unidad_Predial;Forestal
1014528;470010110000000620901901070113;PH.Unidad_Predial;Forestal
997704;470010107000000310905901070153;PH.Unidad_Predial;Forestal
3013284;470010107000000220901901020040;PH.Unidad_Predial;Forestal
991987;470010107000000630901901000040;PH.Unidad_Predial;Forestal
799874;470010106000011800005000000000;NPH;Forestal
1049524;470010107000000270905901030252;PH.Unidad_Predial;Agropecuario
3008625;470010107000000410904901020130;PH.Unidad_Predial;Forestal
972405;470010107000000490904901010235;PH.Unidad_Predial;Forestal
3009600;470010110000000640905901010840;PH.Unidad_Predial;Forestal
3013083;470010107000000150902901040073;PH.Unidad_Predial;Forestal
